"location","week_ending","week_start","N"
"Washington",2020-03-07,2020-03-01,116.857142857143
"Washington",2020-03-14,2020-03-08,476.714285714286
"Washington",2020-03-21,2020-03-15,1067.57142857143
"Washington",2020-03-28,2020-03-22,2502.42857142857
"Washington",2020-04-04,2020-03-29,3207.14285714286
"Washington",2020-04-11,2020-04-05,2685.71428571429
"Washington",2020-04-18,2020-04-12,1621.42857142857
"Washington",2020-04-25,2020-04-19,1767.42857142857
"Washington",2020-05-02,2020-04-26,1975.57142857143
"Washington",2020-05-09,2020-05-03,2208
"Washington",2020-05-16,2020-05-10,1653.85714285714
"Illinois",2020-03-07,2020-03-01,5.42857142857143
"Illinois",2020-03-14,2020-03-08,66.8571428571428
"Illinois",2020-03-21,2020-03-15,768.714285714286
"Illinois",2020-03-28,2020-03-22,2965.42857142857
"Illinois",2020-04-04,2020-03-29,6336.57142857143
"Illinois",2020-04-11,2020-04-05,9095.71428571429
"Illinois",2020-04-18,2020-04-12,9613.57142857143
"Illinois",2020-04-25,2020-04-19,12768.5714285714
"Illinois",2020-05-02,2020-04-26,16813.5714285714
"Illinois",2020-05-09,2020-05-03,17079.1428571429
"Illinois",2020-05-16,2020-05-10,16710.4285714286
"California",2020-03-07,2020-03-01,77.5714285714286
"California",2020-03-14,2020-03-08,312.428571428571
"California",2020-03-21,2020-03-15,1224.14285714286
"California",2020-03-28,2020-03-22,4075.28571428571
"California",2020-04-04,2020-03-29,8066.57142857143
"California",2020-04-11,2020-04-05,8560.14285714286
"California",2020-04-18,2020-04-12,8612.85714285714
"California",2020-04-25,2020-04-19,11401.1428571429
"California",2020-05-02,2020-04-26,11309.1428571429
"California",2020-05-09,2020-05-03,12532.1428571429
"California",2020-05-16,2020-05-10,12425.7142857143
"Arizona",2020-03-07,2020-03-01,3
"Arizona",2020-03-14,2020-03-08,8.71428571428571
"Arizona",2020-03-21,2020-03-15,124.571428571429
"Arizona",2020-03-28,2020-03-22,683.285714285714
"Arizona",2020-04-04,2020-03-29,1195.42857142857
"Arizona",2020-04-11,2020-04-05,1311.85714285714
"Arizona",2020-04-18,2020-04-12,1338.57142857143
"Arizona",2020-04-25,2020-04-19,1582.42857142857
"Arizona",2020-05-02,2020-04-26,2042.42857142857
"Arizona",2020-05-09,2020-05-03,2476.14285714286
"Arizona",2020-05-16,2020-05-10,2707.14285714286
"Massachusetts",2020-03-07,2020-03-01,25.4285714285714
"Massachusetts",2020-03-14,2020-03-08,122.285714285714
"Massachusetts",2020-03-21,2020-03-15,437.285714285714
"Massachusetts",2020-03-28,2020-03-22,3567.85714285714
"Massachusetts",2020-04-04,2020-03-29,7328.85714285714
"Massachusetts",2020-04-11,2020-04-05,11384.1428571429
"Massachusetts",2020-04-18,2020-04-12,13103.1428571429
"Massachusetts",2020-04-25,2020-04-19,15884.8571428571
"Massachusetts",2020-05-02,2020-04-26,13929
"Massachusetts",2020-05-09,2020-05-03,10417.1428571429
"Massachusetts",2020-05-16,2020-05-10,8373
"Wisconsin",2020-03-07,2020-03-01,0.428571428571428
"Wisconsin",2020-03-14,2020-03-08,28.8571428571429
"Wisconsin",2020-03-21,2020-03-15,261
"Wisconsin",2020-03-28,2020-03-22,721.428571428571
"Wisconsin",2020-04-04,2020-03-29,1072.28571428571
"Wisconsin",2020-04-11,2020-04-05,1093
"Wisconsin",2020-04-18,2020-04-12,1027.85714285714
"Wisconsin",2020-04-25,2020-04-19,1475.85714285714
"Wisconsin",2020-05-02,2020-04-26,2027.57142857143
"Wisconsin",2020-05-09,2020-05-03,2292.28571428571
"Wisconsin",2020-05-16,2020-05-10,2280.42857142857
"Texas",2020-03-07,2020-03-01,9.85714285714286
"Texas",2020-03-14,2020-03-08,47.1428571428571
"Texas",2020-03-21,2020-03-15,442.428571428571
"Texas",2020-03-28,2020-03-22,1832.85714285714
"Texas",2020-04-04,2020-03-29,4218.14285714286
"Texas",2020-04-11,2020-04-05,6343.71428571429
"Texas",2020-04-18,2020-04-12,5740.42857142857
"Texas",2020-04-25,2020-04-19,5734.57142857143
"Texas",2020-05-02,2020-04-26,6820.85714285714
"Texas",2020-05-09,2020-05-03,7697.57142857143
"Texas",2020-05-16,2020-05-10,8750.28571428571
"Nebraska",2020-03-07,2020-03-01,1.71428571428571
"Nebraska",2020-03-14,2020-03-08,14.2857142857143
"Nebraska",2020-03-21,2020-03-15,30.4285714285714
"Nebraska",2020-03-28,2020-03-22,72.1428571428571
"Nebraska",2020-04-04,2020-03-29,220.428571428571
"Nebraska",2020-04-11,2020-04-05,381.285714285714
"Nebraska",2020-04-18,2020-04-12,623.428571428571
"Nebraska",2020-04-25,2020-04-19,1445.28571428571
"Nebraska",2020-05-02,2020-04-26,2430.71428571429
"Nebraska",2020-05-09,2020-05-03,2718.57142857143
"Nebraska",2020-05-16,2020-05-10,2089.85714285714
"Utah",2020-03-07,2020-03-01,1.57142857142857
"Utah",2020-03-14,2020-03-08,20.2857142857143
"Utah",2020-03-21,2020-03-15,139
"Utah",2020-03-28,2020-03-22,445
"Utah",2020-04-04,2020-03-29,790.285714285714
"Utah",2020-04-11,2020-04-05,780.571428571429
"Utah",2020-04-18,2020-04-12,761.714285714286
"Utah",2020-04-25,2020-04-19,990
"Utah",2020-05-02,2020-04-26,1060.71428571429
"Utah",2020-05-09,2020-05-03,1069.85714285714
"Utah",2020-05-16,2020-05-10,1016.28571428571
"Oregon",2020-03-07,2020-03-01,6.28571428571428
"Oregon",2020-03-14,2020-03-08,30.7142857142857
"Oregon",2020-03-21,2020-03-15,100.857142857143
"Oregon",2020-03-28,2020-03-22,335.714285714286
"Oregon",2020-04-04,2020-03-29,503
"Oregon",2020-04-11,2020-04-05,468.285714285714
"Oregon",2020-04-18,2020-04-12,396.285714285714
"Oregon",2020-04-25,2020-04-19,395.714285714286
"Oregon",2020-05-02,2020-04-26,397.428571428572
"Oregon",2020-05-09,2020-05-03,508.285714285714
"Oregon",2020-05-16,2020-05-10,439.714285714286
"Florida",2020-03-07,2020-03-01,9.85714285714286
"Florida",2020-03-14,2020-03-08,85.1428571428571
"Florida",2020-03-21,2020-03-15,729.285714285714
"Florida",2020-03-28,2020-03-22,3326.85714285714
"Florida",2020-04-04,2020-03-29,7171.85714285714
"Florida",2020-04-11,2020-04-05,7523.57142857143
"Florida",2020-04-18,2020-04-12,6481.57142857143
"Florida",2020-04-25,2020-04-19,5497.28571428571
"Florida",2020-05-02,2020-04-26,4521.14285714286
"Florida",2020-05-09,2020-05-03,4577.42857142857
"Florida",2020-05-16,2020-05-10,4857.71428571428
"New York",2020-03-07,2020-03-01,83.2857142857143
"New York",2020-03-14,2020-03-08,577.714285714286
"New York",2020-03-21,2020-03-15,11598.8571428571
"New York",2020-03-28,2020-03-22,41159
"New York",2020-04-04,2020-03-29,60373.8571428571
"New York",2020-04-11,2020-04-05,66763.8571428571
"New York",2020-04-18,2020-04-12,58158.1428571429
"New York",2020-04-25,2020-04-19,44545.1428571429
"New York",2020-05-02,2020-04-26,33775
"New York",2020-05-09,2020-05-03,20577.1428571428
"New York",2020-05-16,2020-05-10,14841.5714285714
"Rhode Island",2020-03-07,2020-03-01,2.14285714285714
"Rhode Island",2020-03-14,2020-03-08,13.2857142857143
"Rhode Island",2020-03-21,2020-03-15,55.1428571428571
"Rhode Island",2020-03-28,2020-03-22,204.142857142857
"Rhode Island",2020-04-04,2020-03-29,577.714285714286
"Rhode Island",2020-04-11,2020-04-05,1494.28571428571
"Rhode Island",2020-04-18,2020-04-12,2128.28571428571
"Rhode Island",2020-04-25,2020-04-19,2523.85714285714
"Rhode Island",2020-05-02,2020-04-26,2169
"Rhode Island",2020-05-09,2020-05-03,1808.57142857143
"Rhode Island",2020-05-16,2020-05-10,1440.42857142857
"Georgia",2020-03-07,2020-03-01,8.57142857142857
"Georgia",2020-03-14,2020-03-08,65.8571428571429
"Georgia",2020-03-21,2020-03-15,499.857142857143
"Georgia",2020-03-28,2020-03-22,1925.42857142857
"Georgia",2020-04-04,2020-03-29,4070.71428571429
"Georgia",2020-04-11,2020-04-05,5456.42857142857
"Georgia",2020-04-18,2020-04-12,4994.57142857143
"Georgia",2020-04-25,2020-04-19,4992.14285714286
"Georgia",2020-05-02,2020-04-26,4882.85714285714
"Georgia",2020-05-09,2020-05-03,4652.14285714286
"Georgia",2020-05-16,2020-05-10,4020.42857142857
"New Hampshire",2020-03-07,2020-03-01,2.85714285714286
"New Hampshire",2020-03-14,2020-03-08,8.28571428571428
"New Hampshire",2020-03-21,2020-03-15,58.4285714285714
"New Hampshire",2020-03-28,2020-03-22,163.571428571429
"New Hampshire",2020-04-04,2020-03-29,364.428571428571
"New Hampshire",2020-04-11,2020-04-05,333
"New Hampshire",2020-04-18,2020-04-12,398.857142857143
"New Hampshire",2020-04-25,2020-04-19,467.714285714286
"New Hampshire",2020-05-02,2020-04-26,585.428571428571
"New Hampshire",2020-05-09,2020-05-03,618.714285714286
"New Hampshire",2020-05-16,2020-05-10,522.571428571428
"North Carolina",2020-03-07,2020-03-01,3
"North Carolina",2020-03-14,2020-03-08,21.8571428571429
"North Carolina",2020-03-21,2020-03-15,184.428571428571
"North Carolina",2020-03-28,2020-03-22,783.857142857143
"North Carolina",2020-04-04,2020-03-29,1380.85714285714
"North Carolina",2020-04-11,2020-04-05,1853
"North Carolina",2020-04-18,2020-04-12,1886.14285714286
"North Carolina",2020-04-25,2020-04-19,2295.42857142857
"North Carolina",2020-05-02,2020-04-26,2835.85714285714
"North Carolina",2020-05-09,2020-05-03,3003.14285714286
"North Carolina",2020-05-16,2020-05-10,3618.28571428571
"New Jersey",2020-03-07,2020-03-01,6.14285714285714
"New Jersey",2020-03-14,2020-03-08,96.5714285714286
"New Jersey",2020-03-21,2020-03-15,1586.85714285714
"New Jersey",2020-03-28,2020-03-22,9731.14285714286
"New Jersey",2020-04-04,2020-03-29,22132.8571428571
"New Jersey",2020-04-11,2020-04-05,24512.2857142857
"New Jersey",2020-04-18,2020-04-12,23752.4285714286
"New Jersey",2020-04-25,2020-04-19,23561
"New Jersey",2020-05-02,2020-04-26,18253.4285714286
"New Jersey",2020-05-09,2020-05-03,13122.1428571428
"New Jersey",2020-05-16,2020-05-10,8480
"Colorado",2020-03-07,2020-03-01,7.85714285714286
"Colorado",2020-03-14,2020-03-08,98.4285714285714
"Colorado",2020-03-21,2020-03-15,401.857142857143
"Colorado",2020-03-28,2020-03-22,1527.14285714286
"Colorado",2020-04-04,2020-03-29,2447.71428571429
"Colorado",2020-04-11,2020-04-05,2402
"Colorado",2020-04-18,2020-04-12,2503.28571428571
"Colorado",2020-04-25,2020-04-19,3303.85714285714
"Colorado",2020-05-02,2020-04-26,3343.28571428571
"Colorado",2020-05-09,2020-05-03,3030.42857142857
"Colorado",2020-05-16,2020-05-10,2448.85714285714
"Maryland",2020-03-07,2020-03-01,4.14285714285714
"Maryland",2020-03-14,2020-03-08,24.2857142857143
"Maryland",2020-03-21,2020-03-15,174.714285714286
"Maryland",2020-03-28,2020-03-22,822.714285714286
"Maryland",2020-04-04,2020-03-29,2149
"Maryland",2020-04-11,2020-04-05,4397.85714285714
"Maryland",2020-04-18,2020-04-12,4694.42857142857
"Maryland",2020-04-25,2020-04-19,5393.14285714286
"Maryland",2020-05-02,2020-04-26,6652.28571428571
"Maryland",2020-05-09,2020-05-03,7161.57142857143
"Maryland",2020-05-16,2020-05-10,6611.85714285714
"Nevada",2020-03-07,2020-03-01,2.57142857142857
"Nevada",2020-03-14,2020-03-08,23.7142857142857
"Nevada",2020-03-21,2020-03-15,156.714285714286
"Nevada",2020-03-28,2020-03-22,585
"Nevada",2020-04-04,2020-03-29,945.714285714286
"Nevada",2020-04-11,2020-04-05,1019.57142857143
"Nevada",2020-04-18,2020-04-12,861
"Nevada",2020-04-25,2020-04-19,889.142857142857
"Nevada",2020-05-02,2020-04-26,858.142857142857
"Nevada",2020-05-09,2020-05-03,683.142857142857
"Nevada",2020-05-16,2020-05-10,802.714285714286
"Tennessee",2020-03-07,2020-03-01,2.42857142857143
"Tennessee",2020-03-14,2020-03-08,33
"Tennessee",2020-03-21,2020-03-15,311.142857142857
"Tennessee",2020-03-28,2020-03-22,1034.71428571429
"Tennessee",2020-04-04,2020-03-29,1926.57142857143
"Tennessee",2020-04-11,2020-04-05,1657.71428571429
"Tennessee",2020-04-18,2020-04-12,1623.42857142857
"Tennessee",2020-04-25,2020-04-19,2344.42857142857
"Tennessee",2020-05-02,2020-04-26,3156.14285714286
"Tennessee",2020-05-09,2020-05-03,2632.71428571429
"Tennessee",2020-05-16,2020-05-10,2481.85714285714
"Hawaii",2020-03-07,2020-03-01,1.14285714285714
"Hawaii",2020-03-14,2020-03-08,4.71428571428571
"Hawaii",2020-03-21,2020-03-15,44.1428571428571
"Hawaii",2020-03-28,2020-03-22,103.571428571429
"Hawaii",2020-04-04,2020-03-29,184.857142857143
"Hawaii",2020-04-11,2020-04-05,137.285714285714
"Hawaii",2020-04-18,2020-04-12,82.2857142857143
"Hawaii",2020-04-25,2020-04-19,37.5714285714286
"Hawaii",2020-05-02,2020-04-26,14.8571428571429
"Hawaii",2020-05-09,2020-05-03,9.85714285714289
"Hawaii",2020-05-16,2020-05-10,8.57142857142856
"Indiana",2020-03-07,2020-03-01,2
"Indiana",2020-03-14,2020-03-08,15.5714285714286
"Indiana",2020-03-21,2020-03-15,145.714285714286
"Indiana",2020-03-28,2020-03-22,1104.14285714286
"Indiana",2020-04-04,2020-03-29,2737
"Indiana",2020-04-11,2020-04-05,3385.28571428571
"Indiana",2020-04-18,2020-04-12,3312.14285714286
"Indiana",2020-04-25,2020-04-19,3911.42857142857
"Indiana",2020-05-02,2020-04-26,4904.28571428571
"Indiana",2020-05-09,2020-05-03,4558.14285714286
"Indiana",2020-05-16,2020-05-10,3722.71428571429
"Kentucky",2020-03-07,2020-03-01,2.57142857142857
"Kentucky",2020-03-14,2020-03-08,14
"Kentucky",2020-03-21,2020-03-15,71
"Kentucky",2020-03-28,2020-03-22,291.142857142857
"Kentucky",2020-04-04,2020-03-29,547.857142857143
"Kentucky",2020-04-11,2020-04-05,886.571428571429
"Kentucky",2020-04-18,2020-04-12,923.428571428571
"Kentucky",2020-04-25,2020-04-19,1149.14285714286
"Kentucky",2020-05-02,2020-04-26,1174.42857142857
"Kentucky",2020-05-09,2020-05-03,1380.57142857143
"Kentucky",2020-05-16,2020-05-10,1257.71428571429
"Minnesota",2020-03-07,2020-03-01,1.28571428571429
"Minnesota",2020-03-14,2020-03-08,27
"Minnesota",2020-03-21,2020-03-15,127.285714285714
"Minnesota",2020-03-28,2020-03-22,299.285714285714
"Minnesota",2020-04-04,2020-03-29,413
"Minnesota",2020-04-11,2020-04-05,578.428571428571
"Minnesota",2020-04-18,2020-04-12,753.428571428572
"Minnesota",2020-04-25,2020-04-19,1213.57142857143
"Minnesota",2020-05-02,2020-04-26,2799
"Minnesota",2020-05-09,2020-05-03,4413.42857142857
"Minnesota",2020-05-16,2020-05-10,4325
"Oklahoma",2020-03-07,2020-03-01,0.857142857142857
"Oklahoma",2020-03-14,2020-03-08,5.85714285714286
"Oklahoma",2020-03-21,2020-03-15,54.5714285714286
"Oklahoma",2020-03-28,2020-03-22,308.285714285714
"Oklahoma",2020-04-04,2020-03-29,743.714285714286
"Oklahoma",2020-04-11,2020-04-05,756.857142857143
"Oklahoma",2020-04-18,2020-04-12,664.285714285714
"Oklahoma",2020-04-25,2020-04-19,632.285714285714
"Oklahoma",2020-05-02,2020-04-26,666.571428571428
"Oklahoma",2020-05-09,2020-05-03,649.285714285714
"Oklahoma",2020-05-16,2020-05-10,708
"Pennsylvania",2020-03-07,2020-03-01,4.85714285714286
"Pennsylvania",2020-03-14,2020-03-08,48.8571428571429
"Pennsylvania",2020-03-21,2020-03-15,372.285714285714
"Pennsylvania",2020-03-28,2020-03-22,2497.85714285714
